,NCT Number,count,enrolled
925,NCT02379442,1,1
926,NCT01759212,1,1
927,NCT03979898,1,1
928,NCT05240430,1,1
929,NCT01649700,1,1
930,NCT02016508,1,1
931,NCT02150551,1,1
932,NCT02235844,1,1
933,NCT02675556,1,1
934,NCT04366271,1,0
935,NCT02410239,1,0
936,NCT02807389,1,2
937,NCT03509870,1,2
938,NCT03648463,1,0
939,NCT02172885,1,2
940,NCT01062750,1,4
941,NCT02210624,1,4
942,NCT03585855,1,4
943,NCT01668576,1,4
944,NCT04340609,1,4
945,NCT02544802,1,4
946,NCT04610359,1,3
947,NCT02987413,1,3
948,NCT01323894,1,3
949,NCT01700920,1,3
950,NCT03857841,1,3
951,NCT01624701,1,3
952,NCT02384018,1,3
953,NCT01463475,1,3
954,NCT03137199,1,3
955,NCT01454336,1,3
956,NCT04713436,1,3
957,NCT02580019,1,2
958,NCT02330978,1,2
959,NCT04228666,1,0
960,NCT04909879,1,0
961,NCT00186914,1,8
962,NCT02460770,1,0
963,NCT04850469,1,0
964,NCT02503280,1,0
965,NCT03056742,1,0
966,NCT03014219,1,0
967,NCT01849159,1,0
968,NCT01643681,1,0
969,NCT03164083,1,0
970,NCT01759784,1,0
971,NCT02237846,1,0
972,NCT04728698,1,0
973,NCT04909892,1,0
974,NCT04293692,1,0
975,NCT01429012,1,0
976,NCT01922908,1,0
977,NCT02579148,1,0
978,NCT04005989,1,0
979,NCT01275612,1,0
980,NCT00908856,1,0
981,NCT02477540,1,0
982,NCT02440074,1,0
983,NCT04549285,1,0
984,NCT00810212,1,0
985,NCT02630836,1,0
986,NCT02055625,1,0
987,NCT05158439,1,0
988,NCT03298399,1,0
989,NCT00609661,1,0
990,NCT03602872,1,0
991,NCT03058068,1,0
992,NCT02237547,1,0
993,NCT00081055,1,0
994,NCT01849887,1,0
995,NCT02677350,1,0
996,NCT02003131,1,0
997,NCT04073472,1,0
998,NCT01091701,1,0
999,NCT00851162,1,0
1000,NCT02116634,1,0
1001,NCT03692221,1,0
1002,NCT03487731,1,0
1003,NCT04490486,1,0
1004,NCT02107118,1,0
1005,NCT03183726,1,4
1006,NCT05011474,1,4
1007,NCT02945462,1,4
1008,NCT01623453,1,6
1009,NCT01207193,1,6
1010,NCT04893174,1,6
1011,NCT02166489,1,6
1012,NCT01206179,1,6
1013,NCT03504241,1,6
1014,NCT03678467,1,6
1015,NCT00957931,1,6
1016,NCT04914403,1,6
1017,NCT01210950,1,6
1018,NCT02181478,1,6
1019,NCT01759797,1,6
1020,NCT04522986,1,6
1021,NCT00913289,1,6
1022,NCT01436058,1,6
1023,NCT02728115,1,6
1024,NCT03171194,1,6
1025,NCT01840540,1,6
1026,NCT01499056,1,6
1027,NCT03635450,1,6
1028,NCT04040348,1,6
1029,NCT02012153,1,6
1030,NCT00752479,1,4
1031,NCT00549913,1,6
1032,NCT01993368,1,8
1033,NCT02195323,1,7
1034,NCT03174587,1,7
1035,NCT03878628,1,7
1036,NCT03967275,1,7
1037,NCT02957552,1,7
1038,NCT01649687,1,7
1039,NCT02975960,1,7
1040,NCT02408432,1,7
1041,NCT04592640,1,7
1042,NCT03209700,1,7
1043,NCT04184258,1,7
1044,NCT03265613,1,7
1045,NCT05039411,1,7
1046,NCT03778333,1,7
1047,NCT04447833,1,7
1048,NCT01983709,1,7
1049,NCT02625246,1,6
1050,NCT01795950,1,6
1051,NCT01207661,1,6
1052,NCT02375568,1,6
1053,NCT03106662,1,6
1054,NCT00850187,1,6
1055,NCT03220243,1,5
1056,NCT02394886,1,5
1057,NCT02900014,1,5
1058,NCT02395029,1,5
1059,NCT03860155,1,5
1060,NCT03183622,1,5
1061,NCT02394873,1,5
1062,NCT03384433,1,5
1063,NCT02705742,1,5
